"Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV10810","Bacteria","Chloroflexi","TK10",NA,NA,NA,NA
"ASV10811","Bacteria","Proteobacteria","Alphaproteobacteria","Elsterales",NA,NA,NA
"ASV10812","Bacteria","Chloroflexi","KD4-96",NA,NA,NA,NA
"ASV10813","Bacteria","Chloroflexi","KD4-96",NA,NA,NA,NA
"ASV10814","Bacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae",NA,NA
"ASV10815","Bacteria","Actinobacteria","Nitriliruptoria","Euzebyales","Euzebyaceae",NA,NA
"ASV10816","Bacteria",NA,NA,NA,NA,NA,NA
"ASV10817","Bacteria","Actinobacteria","Rubrobacteria","Rubrobacterales","Rubrobacteriaceae","Rubrobacter",NA
"ASV10818","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae",NA,NA
"ASV10819","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales",NA,NA,NA
"ASV10820","Bacteria","Chloroflexi","TK10",NA,NA,NA,NA
"ASV10821","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales",NA,NA,NA
"ASV10822","Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","Ktedonobacteraceae","1921-3",NA
"ASV10823","Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","Ktedonobacteraceae",NA,NA
"ASV10824","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae",NA,NA
"ASV10825","Bacteria","Planctomycetes","Planctomycetacia","Isosphaerales","Isosphaeraceae",NA,NA
"ASV10826","Bacteria","Chloroflexi","TK10",NA,NA,NA,NA
"ASV10827","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales",NA,NA,NA
"ASV10828","Bacteria","Verrucomicrobia","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","ADurb.Bin063-1",NA
"ASV10829","Bacteria","Actinobacteria","MB-A2-108",NA,NA,NA,NA
"ASV10830","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Sandaracinaceae",NA,NA
"ASV10831","Bacteria","Chloroflexi","TK10",NA,NA,NA,NA
"ASV10832","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Niastella",NA
"ASV10833","Bacteria","Chlamydiae","Chlamydiae","Chlamydiales","Parachlamydiaceae","Candidatus_Protochlamydia",NA
"ASV10834","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae",NA,NA
"ASV10835","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae",NA,NA
"ASV10836","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Saccharopolyspora",NA
"ASV10837","Bacteria","Chloroflexi","Gitt-GS-136",NA,NA,NA,NA
"ASV10838","Bacteria","BRC1",NA,NA,NA,NA,NA
"ASV10839","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","67-14",NA,NA
"ASV10840","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","67-14",NA,NA
"ASV10841","Bacteria","Bacteroidetes","Ignavibacteria",NA,NA,NA,NA
"ASV10842","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Conexibacter",NA
"ASV10843","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","67-14",NA,NA
"ASV10844","Bacteria","Acidobacteria","Blastocatellia_(Subgroup_4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
"ASV10845","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Trueperaceae","Truepera",NA
"ASV10846","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45",NA,NA
"ASV10847","Bacteria","Chloroflexi","TK10",NA,NA,NA,NA
"ASV10848","Bacteria",NA,NA,NA,NA,NA,NA
"ASV10849","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae",NA,NA
"ASV10850","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","agaridevorans"
"ASV10851","Bacteria","Verrucomicrobia","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae",NA,NA
"ASV10852","Bacteria","Proteobacteria","Alphaproteobacteria","Elsterales",NA,NA,NA
"ASV10853","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae",NA,NA
"ASV10854","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Gemmata",NA
"ASV10855","Bacteria","Acidobacteria","Subgroup_17",NA,NA,NA,NA
"ASV10856","Bacteria","Acidobacteria","Blastocatellia_(Subgroup_4)","11-24",NA,NA,NA
"ASV10857","Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","Microtrichaceae",NA,NA
"ASV10858","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","bacteriap25",NA,NA
"ASV10859","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","67-14",NA,NA
"ASV10860","Bacteria","Actinobacteria",NA,NA,NA,NA,NA
"ASV10861","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","B1-7BS",NA,NA
"ASV10862","Bacteria","Proteobacteria","Alphaproteobacteria","Micropepsales","Micropepsaceae",NA,NA
"ASV10863","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA
"ASV10864","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Microvirga",NA
"ASV10865","Bacteria","Actinobacteria","Acidimicrobiia","IMCC26256",NA,NA,NA
"ASV10866","Bacteria","Armatimonadetes",NA,NA,NA,NA,NA
"ASV10867","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Sandaracinaceae",NA,NA
"ASV10868","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae",NA,NA
"ASV10869","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Geodermatophilaceae","Geodermatophilus",NA
"ASV10870","Bacteria","Proteobacteria","Alphaproteobacteria","Dongiales","Dongiaceae","Dongia",NA
"ASV10871","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae",NA,NA
"ASV10872","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium",NA
"ASV10873","Bacteria","Planctomycetes","Planctomycetacia","Isosphaerales","Isosphaeraceae","Singulisphaera",NA
"ASV10874","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales",NA,NA,NA
"ASV10875","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae",NA,NA
"ASV10876","Bacteria","Proteobacteria","Gammaproteobacteria","Diplorickettsiales","Diplorickettsiaceae","Aquicella",NA
"ASV10877","Bacteria","Actinobacteria",NA,NA,NA,NA,NA
"ASV10878","Bacteria","Planctomycetes","vadinHA49",NA,NA,NA,NA
"ASV10879","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces",NA
"ASV10880","Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","Ktedonobacteraceae",NA,NA
"ASV10881","Bacteria","Chloroflexi","TK10",NA,NA,NA,NA
"ASV10882","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Herbaspirillum",NA
"ASV10883","Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","Ktedonobacteraceae",NA,NA
"ASV10884","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas",NA
"ASV10885","Bacteria","Firmicutes","Clostridia","Clostridiales","Syntrophomonadaceae","Syntrophothermus",NA
"ASV10886","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Nitrospira",NA
"ASV10887","Bacteria","Chloroflexi","KD4-96",NA,NA,NA,NA
"ASV10888","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae",NA,NA
"ASV10889","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Taibaiella",NA
"ASV10890","Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","Ktedonobacteraceae",NA,NA
"ASV10891","Bacteria","Proteobacteria","Alphaproteobacteria","Reyranellales","Reyranellaceae","Reyranella",NA
"ASV10892","Bacteria","Acidobacteria","Blastocatellia_(Subgroup_4)","DS-100",NA,NA,NA
"ASV10893","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales",NA,NA,NA
"ASV10894","Bacteria","Chloroflexi","SHA-26",NA,NA,NA,NA
"ASV10895","Bacteria","Gemmatimonadetes","S0134_terrestrial_group",NA,NA,NA,NA
"ASV10896","Bacteria",NA,NA,NA,NA,NA,NA
"ASV10897","Bacteria","Gemmatimonadetes","Longimicrobia","Longimicrobiales","Longimicrobiaceae",NA,NA
"ASV10898","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","67-14",NA,NA
"ASV10899","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Conexibacter",NA
"ASV10900","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae",NA,NA
"ASV10901","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Conexibacter",NA
"ASV10902","Bacteria","Planctomycetes","Planctomycetacia","Isosphaerales","Isosphaeraceae",NA,NA
"ASV10903","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales",NA,NA,NA
"ASV10904","Bacteria","Entotheonellaeota","Entotheonellia","Entotheonellales","Entotheonellaceae",NA,NA
"ASV10905","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales",NA,NA,NA
"ASV10906","Bacteria","Proteobacteria","Gammaproteobacteria","JG36-TzT-191",NA,NA,NA
"ASV10907","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium",NA
"ASV10908","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae",NA,NA
"ASV10909","Bacteria","Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae_(Subgroup_3)","Bryobacter",NA
"ASV10910","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Conexibacter",NA
"ASV10911","Bacteria","Planctomycetes","Planctomycetacia","Isosphaerales","Isosphaeraceae","Singulisphaera",NA
"ASV10912","Bacteria","Acidobacteria","Subgroup_6",NA,NA,NA,NA
"ASV10913","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Koribacteraceae","Candidatus_Koribacter",NA
"ASV10914","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Cohnella","xylanilytica"
"ASV10915","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces",NA
"ASV10916","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Methylophilaceae","Methylobacillus",NA
"ASV10917","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","mle1-27",NA,NA
"ASV10918","Bacteria","Chloroflexi","Anaerolineae","SBR1031",NA,NA,NA
"ASV10919","Bacteria","Actinobacteria","Actinobacteria","Frankiales",NA,NA,NA
"ASV10920","Bacteria","Chloroflexi","Ktedonobacteria","B12-WMSP1",NA,NA,NA
"ASV10921","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Chitinophaga",NA
"ASV10922","Bacteria","Proteobacteria","Alphaproteobacteria","Tistrellales","Geminicoccaceae","Candidatus_Alysiosphaera",NA
"ASV10923","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Defluviimonas",NA
"ASV10924","Bacteria","Actinobacteria",NA,NA,NA,NA,NA
"ASV10925","Bacteria","Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae_(Subgroup_3)",NA,NA
"ASV10926","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter",NA
"ASV10927","Bacteria","Actinobacteria","Actinobacteria","Streptosporangiales","Thermomonosporaceae","Actinomadura","alba"
"ASV10928","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae",NA,NA
"ASV10929","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales",NA,NA,NA
"ASV10930","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","AKYH767",NA,NA
"ASV10931","Bacteria","Actinobacteria","Acidimicrobiia","IMCC26256",NA,NA,NA
"ASV10932","Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","Ktedonobacteraceae",NA,NA
"ASV10933","Bacteria","Chloroflexi","KD4-96",NA,NA,NA,NA
"ASV10934","Bacteria","Verrucomicrobia","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae",NA,NA
"ASV10935","Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b",NA,NA
"ASV10936","Bacteria","Chloroflexi","Ktedonobacteria","B12-WMSP1",NA,NA,NA
"ASV10937","Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","Ktedonobacteraceae","1921-3",NA
"ASV10938","Bacteria","Proteobacteria","Alphaproteobacteria","Micropepsales","Micropepsaceae",NA,NA
"ASV10939","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae",NA,NA
"ASV10940","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae",NA,NA
"ASV10941","Bacteria","Proteobacteria","Deltaproteobacteria","Oligoflexales","0319-6G20",NA,NA
"ASV10942","Bacteria","Verrucomicrobia","Verrucomicrobiae","Opitutales","Opitutaceae","Opitutus",NA
"ASV10943","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus",NA
"ASV10944","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Psychroglaciecola",NA
"ASV10945","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Larkinella",NA
"ASV10946","Bacteria","Proteobacteria","Alphaproteobacteria","Tistrellales","Geminicoccaceae",NA,NA
"ASV10947","Bacteria","Gemmatimonadetes","Longimicrobia","Longimicrobiales","Longimicrobiaceae",NA,NA
"ASV10948","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales",NA,NA,NA
"ASV10949","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Sporichthyaceae",NA,NA
"ASV10950","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Sandaracinaceae",NA,NA
"ASV10951","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Fimbriiglobus",NA
"ASV10952","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae",NA,NA
"ASV10953","Bacteria","Proteobacteria","Gammaproteobacteria","Diplorickettsiales","Diplorickettsiaceae",NA,NA
"ASV10954","Bacteria","Cyanobacteria","Melainabacteria","Obscuribacterales",NA,NA,NA
"ASV10955","Bacteria","Gemmatimonadetes","Longimicrobia","Longimicrobiales","Longimicrobiaceae",NA,NA
"ASV10956","Bacteria","Actinobacteria","Acidimicrobiia",NA,NA,NA,NA
"ASV10957","Bacteria","Actinobacteria","Acidimicrobiia",NA,NA,NA,NA
"ASV10958","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Craurococcus",NA
"ASV10959","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae",NA,NA
"ASV10960","Bacteria","Chloroflexi",NA,NA,NA,NA,NA
"ASV10961","Bacteria","Proteobacteria","Alphaproteobacteria","Tistrellales","Geminicoccaceae","Candidatus_Alysiosphaera",NA
"ASV10962","Bacteria","Chloroflexi","TK10",NA,NA,NA,NA
"ASV10963","Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","Ktedonobacteraceae","FCPS473",NA
"ASV10964","Bacteria","Chloroflexi","Ktedonobacteria","C0119",NA,NA,NA
"ASV10965","Bacteria","Planctomycetes","Phycisphaerae","Tepidisphaerales","WD2101_soil_group",NA,NA
"ASV10966","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavisolibacter",NA
"ASV10967","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae",NA,NA
"ASV10968","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Rhizobacter",NA
"ASV10969","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Asticcacaulis","solisilvae"
"ASV10970","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Variovorax","guangxiensis"
"ASV10971","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","D05-2",NA,NA
"ASV10972","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Cellulomonadaceae","Cellulomonas",NA
"ASV10973","Bacteria","Proteobacteria","Deltaproteobacteria","Oligoflexales","0319-6G20",NA,NA
"ASV10974","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","TRA3-20",NA,NA
"ASV10975","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","67-14",NA,NA
"ASV10976","Bacteria","Proteobacteria","Deltaproteobacteria","Oligoflexales","0319-6G20",NA,NA
"ASV10977","Bacteria","Actinobacteria","0319-7L14",NA,NA,NA,NA
"ASV10978","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter",NA
"ASV10979","Bacteria","Gemmatimonadetes","Longimicrobia","Longimicrobiales","Longimicrobiaceae",NA,NA
"ASV10980","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae",NA,NA
"ASV10981","Bacteria","Verrucomicrobia","Verrucomicrobiae",NA,NA,NA,NA
"ASV10982","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella",NA
"ASV10983","Bacteria","Acidobacteria","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup_10",NA
"ASV10984","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","bacteriap25",NA,NA
"ASV10985","Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast",NA,NA,NA
"ASV10986","Bacteria","Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae_(Subgroup_3)","Bryobacter",NA
"ASV10987","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Gemmata",NA
"ASV10988","Bacteria","Proteobacteria","Deltaproteobacteria",NA,NA,NA,NA
"ASV10989","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales",NA,NA,NA
"ASV10990","Bacteria","Planctomycetes","Phycisphaerae","Tepidisphaerales","WD2101_soil_group",NA,NA
"ASV10991","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces",NA
"ASV10992","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces",NA
"ASV10993","Bacteria","Acidobacteria","Subgroup_6",NA,NA,NA,NA
"ASV10994","Bacteria","Actinobacteria","Actinobacteria","Streptosporangiales","Thermomonosporaceae",NA,NA
"ASV10995","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Geodermatophilaceae","Blastococcus",NA
"ASV10996","Bacteria","Chloroflexi","Ktedonobacteria","C0119",NA,NA,NA
"ASV10997","Bacteria","Acidobacteria","Holophagae","Subgroup_7",NA,NA,NA
"ASV10998","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae",NA,NA
"ASV10999","Bacteria","Acidobacteria","Subgroup_6",NA,NA,NA,NA
"ASV11000","Bacteria","Actinobacteria","Actinobacteria","Streptosporangiales","Thermomonosporaceae","Actinomadura",NA
"ASV11001","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia",NA
"ASV11002","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Peredibacter",NA
"ASV11003","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Cnuella",NA
"ASV11004","Bacteria","Actinobacteria","MB-A2-108",NA,NA,NA,NA
"ASV11005","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","67-14",NA,NA
"ASV11006","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus",NA
"ASV11007","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","67-14",NA,NA
"ASV11008","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","rigui"
"ASV11009","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Cellulomonadaceae","Cellulomonas",NA
"ASV11010","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
"ASV11011","Bacteria","WPS-2",NA,NA,NA,NA,NA
"ASV11012","Bacteria","Proteobacteria","Alphaproteobacteria","Elsterales",NA,NA,NA
"ASV11013","Bacteria","Cyanobacteria","Melainabacteria","Obscuribacterales",NA,NA,NA
"ASV11014","Bacteria","Chloroflexi","TK10",NA,NA,NA,NA
"ASV11015","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae",NA,NA
"ASV11016","Bacteria","Proteobacteria","Alphaproteobacteria","Elsterales",NA,NA,NA
"ASV11017","Bacteria",NA,NA,NA,NA,NA,NA
"ASV11018","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae",NA,NA
"ASV11019","Bacteria","Acidobacteria","Blastocatellia_(Subgroup_4)","11-24",NA,NA,NA
"ASV11020","Bacteria","Chloroflexi","AD3",NA,NA,NA,NA
"ASV11021","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatirosa",NA
"ASV11022","Bacteria","Planctomycetes","Phycisphaerae","Tepidisphaerales","WD2101_soil_group",NA,NA
"ASV11023","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae",NA,NA
"ASV11024","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas",NA
"ASV11025","Bacteria","Chloroflexi","OLB14",NA,NA,NA,NA
"ASV11026","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Gemmata",NA
"ASV11027","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","Pajaroellobacter",NA
"ASV11028","Bacteria","Proteobacteria","Alphaproteobacteria","Elsterales",NA,NA,NA
"ASV11029","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys",NA
"ASV11030","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Conexibacter",NA
"ASV11031","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","AB1",NA,NA
"ASV11032","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_Incertae_Sedis","Unknown_Family","Acidibacter",NA
"ASV11033","Bacteria","Patescibacteria",NA,NA,NA,NA,NA
"ASV11034","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA
"ASV11035","Bacteria","Chloroflexi","Ktedonobacteria","B12-WMSP1",NA,NA,NA
"ASV11036","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae",NA,NA
"ASV11037","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae",NA,NA
"ASV11038","Bacteria","Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae_(Subgroup_3)","Candidatus_Solibacter",NA
"ASV11039","Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","Ktedonobacteraceae",NA,NA
"ASV11040","Bacteria","Proteobacteria","Gammaproteobacteria","Salinisphaerales","Solimonadaceae","Polycyclovorans",NA
"ASV11041","Bacteria","Acidobacteria","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup_10",NA
"ASV11042","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae",NA,NA
"ASV11043","Bacteria","Planctomycetes","Planctomycetacia","Isosphaerales","Isosphaeraceae",NA,NA
"ASV11044","Bacteria","Proteobacteria","Alphaproteobacteria","Elsterales",NA,NA,NA
"ASV11045","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","67-14",NA,NA
"ASV11046","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae",NA,NA
"ASV11047","Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","Ktedonobacteraceae",NA,NA
"ASV11048","Bacteria","Chloroflexi","TK10",NA,NA,NA,NA
"ASV11049","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",NA,NA
"ASV11050","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae",NA,NA
"ASV11051","Bacteria","Chloroflexi","TK10",NA,NA,NA,NA
"ASV11052","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Craurococcus",NA
"ASV11053","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales",NA,NA,NA
"ASV11054","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales",NA,NA,NA
"ASV11055","Bacteria","Armatimonadetes",NA,NA,NA,NA,NA
"ASV11056","Bacteria","Planctomycetes","Planctomycetacia","Isosphaerales","Isosphaeraceae","Singulisphaera",NA
"ASV11057","Bacteria","Verrucomicrobia","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae",NA,NA
"ASV11058","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Sandaracinaceae",NA,NA
"ASV11059","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Sediminibacterium",NA
"ASV11060","Bacteria","Actinobacteria","Actinobacteria",NA,NA,NA,NA
"ASV11061","Bacteria","Chloroflexi",NA,NA,NA,NA,NA
"ASV11062","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","Thermomicrobiaceae","Nitrolancea",NA
"ASV11063","Bacteria","Gemmatimonadetes","Longimicrobia","Longimicrobiales","Longimicrobiaceae",NA,NA
"ASV11064","Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales",NA,NA,NA
"ASV11065","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Marmoricola",NA
"ASV11066","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter",NA
"ASV11067","Bacteria","Actinobacteria","0319-7L14",NA,NA,NA,NA
"ASV11068","Bacteria","Actinobacteria","Acidimicrobiia",NA,NA,NA,NA
"ASV11069","Bacteria","Chloroflexi","Chloroflexia","Kallotenuales","AKIW781",NA,NA
"ASV11070","Bacteria","Chloroflexi","Anaerolineae","SBR1031",NA,NA,NA
"ASV11071","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus",NA
"ASV11072","Bacteria","Chloroflexi","TK10",NA,NA,NA,NA
"ASV11073","Bacteria","Acidobacteria","Blastocatellia_(Subgroup_4)","11-24",NA,NA,NA
"ASV11074","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
