"Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV1916","k__Fungi","p__Calcarisporiellomycota","c__Calcarisporiellomycetes","o__Calcarisporiellales","f__Calcarisporiellaceae","g__Calcarisporiella",NA
"ASV1917","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Onygenales","f__Onygenaceae","g__Amauroascus","s__kuehnii"
"ASV1918","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Omphalotaceae",NA,NA
"ASV1919","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Mycosphaerellaceae",NA,NA
"ASV1920","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Aspergillus","s__deflectus"
"ASV1921","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV1922","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Microascales","f__Microascaceae","g__Petriella",NA
"ASV1923","k__Fungi","p__Ascomycota","c__Sordariomycetes",NA,NA,NA,NA
"ASV1924","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Gibberella","s__intricans"
"ASV1925","k__Fungi","p__Ascomycota","c__Sordariomycetes",NA,NA,NA,NA
"ASV1926","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Trechisporales","f__Hydnodontaceae","g__Subulicystidium",NA
"ASV1927","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae","g__Westerdykella",NA
"ASV1928","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Agaricaceae","g__Tulostoma",NA
"ASV1929","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Onygenales","f__Onygenales_fam_Incertae_sedis","g__Chrysosporium",NA
"ASV1930","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Agaricaceae","g__Tulostoma",NA
"ASV1931","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Ceratobasidiaceae","g__Thanatephorus","s__cucumeris"
"ASV1932","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Ascodesmidaceae","g__Cephaliophora",NA
"ASV1933","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Onygenales","f__Onygenales_fam_Incertae_sedis","g__Chrysosporium",NA
"ASV1934","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Bionectriaceae","g__Bionectria","s__setosa"
"ASV1935","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"ASV1936","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Niessliaceae","g__Eucasphaeria",NA
"ASV1937","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Diversisporales","f__Acaulosporaceae",NA,NA
"ASV1938","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Erythrobasidiales","f__Erythrobasidiales_fam_Incertae_sedis","g__Cyrenella","s__elegans"
"ASV1939","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV1940","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreaceae","g__Trichoderma","s__reesei"
"ASV1941","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"ASV1942","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Dissoconiaceae","g__Ramichloridium","s__apiculatum"
"ASV1943","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Phallales","f__Phallaceae","g__Itajahya","s__rosea"
"ASV1944","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Veronaea","s__japonica"
"ASV1945","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Gigasporales","f__Gigasporaceae","g__Gigaspora","s__rosea"
"ASV1946","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV1947","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Edenia","s__gomezpompae"
"ASV1948","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Aureobasidiaceae",NA,NA
"ASV1949","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Penicillium","s__glandicola"
"ASV1950","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Branch06",NA,NA,NA
"ASV1951","k__Fungi","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA
"ASV1952","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Coniochaetales","f__Coniochaetaceae","g__Coniochaeta",NA
"ASV1953","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Sordariales_fam_Incertae_sedis","g__Conlarium",NA
"ASV1954","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV1955","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Metschnikowiaceae","g__Metschnikowia",NA
"ASV1956","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales",NA,NA,NA
"ASV1957","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Sordariales_fam_Incertae_sedis","g__Madurella","s__fahalii"
"ASV1958","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales","f__Orbiliaceae","g__Orbilia",NA
"ASV1959","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreaceae","g__Trichoderma","s__atroviride"
"ASV1960","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV1961","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"ASV1962","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Coniochaetales","f__Coniochaetaceae","g__Coniochaeta",NA
"ASV1963","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV1964","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Teichosporaceae","g__Teichospora",NA
"ASV1965","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Scytalidium","s__sphaerosporum"
"ASV1966","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae","g__Melanocarpus","s__tardus"
"ASV1967","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae","g__Thielavia","s__australiensis"
"ASV1968","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"ASV1969","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV1970","k__Fungi","p__Ascomycota","c__Sordariomycetes",NA,NA,NA,NA
"ASV1971","k__Fungi","p__Mucoromycota","c__Mucoromycetes","o__Mucorales","f__Lichtheimiaceae","g__Lichtheimia","s__blakesleeana"
"ASV1972","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Agaricaceae","g__Lepiota","s__felina"
"ASV1973","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"ASV1974","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae",NA,NA
"ASV1975","k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA
"ASV1976","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV1977","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Cladophialophora",NA
"ASV1978","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Filobasidium",NA
"ASV1979","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae","g__Preussia","s__terricola"
"ASV1980","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV1981","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Rhizoglomus",NA
"ASV1982","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV1983","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Phallales","f__Phallaceae","g__Itajahya","s__rosea"
"ASV1984","k__Fungi","p__Ascomycota","c__Sordariomycetes",NA,NA,NA,NA
"ASV1985","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV1986","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Trichomonascaceae","g__Blastobotrys","s__raffinosifermentans"
"ASV1987","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Lasiosphaeriaceae","g__Cladorrhinum",NA
"ASV1988","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV1989","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV1990","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV1991","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV1992","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Teratosphaeriaceae","g__Penidiella","s__aggregata"
"ASV1993","k__Fungi","p__Ascomycota","c__Sordariomycetes",NA,NA,NA,NA
"ASV1994","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Ascodesmidaceae","g__Cephaliophora",NA
"ASV1995","k__Fungi","p__Mortierellomycota",NA,NA,NA,NA,NA
"ASV1996","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV1997","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales",NA,NA,NA
"ASV1998","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Chaetothyriaceae",NA,NA
"ASV1999","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV2000","k__Fungi","p__Ascomycota","c__Sordariomycetes",NA,NA,NA,NA
"ASV2001","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Bartaliniaceae",NA,NA
"ASV2002","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Curvularia",NA
"ASV2003","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Ceratobasidiaceae",NA,NA
"ASV2004","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV2005","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Xylariaceae","g__Xylaria",NA
"ASV2006","k__Fungi","p__Ascomycota","c__Sordariomycetes",NA,NA,NA,NA
"ASV2007","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Cladophialophora",NA
"ASV2008","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV2009","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae",NA,NA
"ASV2010","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA
"ASV2011","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Articulospora","s__proliferata"
"ASV2012","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales","f__Sporidiobolaceae","g__Rhodotorula","s__paludigena"
"ASV2013","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pezizales_fam_Incertae_sedis","g__Trichobolus","s__zukalii"
"ASV2014","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Ceratobasidiaceae",NA,NA
"ASV2015","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Entolomataceae","g__Entoloma",NA
"ASV2016","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Mycosphaerellaceae",NA,NA
"ASV2017","k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA
"ASV2018","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Branch06",NA,NA,NA
"ASV2019","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV2020","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Rhizoglomus",NA
"ASV2021","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Metschnikowiaceae","g__Metschnikowia",NA
"ASV2022","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Torulaceae","g__Torula","s__deospora"
"ASV2023","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_fam_Incertae_sedis","g__Sarocladium","s__kiliense"
"ASV2024","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Branch06",NA,NA,NA
"ASV2025","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV2026","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae","g__Zopfiella",NA
"ASV2027","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"ASV2028","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Bionectriaceae","g__Paracylindrocarpon","s__aloicola"
"ASV2029","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Coniothyriaceae","g__Neoconiothyrium","s__persooniae"
"ASV2030","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV2031","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV2032","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV2033","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Diversisporales","f__Acaulosporaceae",NA,NA
"ASV2034","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV2035","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Articulospora","s__proliferata"
"ASV2036","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Microascales","f__Microascaceae","g__Microascus","s__croci"
"ASV2037","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae",NA,NA
"ASV2038","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Teichosporaceae","g__Teichospora",NA
"ASV2039","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Diatrypaceae","g__Monosporascus",NA
"ASV2040","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Entolomataceae","g__Entoloma",NA
"ASV2041","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV2042","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Diversisporales","f__Acaulosporaceae",NA,NA
"ASV2043","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae",NA,NA
"ASV2044","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales",NA,NA,NA
"ASV2045","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Curvularia",NA
"ASV2046","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Peltigerales","f__Pannariaceae","g__Pectenia",NA
"ASV2047","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV2048","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae","g__Preussia",NA
"ASV2049","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Teratosphaeriaceae","g__Lapidomyces",NA
"ASV2050","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Metschnikowiaceae","g__Metschnikowia",NA
"ASV2051","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales",NA,NA,NA
"ASV2052","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV2053","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Aureobasidiaceae","g__Aureobasidium","s__thailandense"
"ASV2054","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Septoglomus",NA
"ASV2055","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Microthyriales","f__Microthyriales_fam_Incertae_sedis","g__Parazalerion","s__indica"
"ASV2056","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Metschnikowiaceae","g__Metschnikowia",NA
"ASV2057","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Coprinellus","s__radians"
"ASV2058","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Diatrypaceae","g__Monosporascus",NA
"ASV2059","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV2060","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Agaricaceae","g__Tulostoma",NA
"ASV2061","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Testudinaceae","g__Lepidosphaeria","s__nicotiae"
"ASV2062","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV2063","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales",NA,NA,NA
"ASV2064","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Onygenales","f__Onygenaceae","g__Amauroascus","s__kuehnii"
"ASV2065","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV2066","k__Fungi","p__Glomeromycota","c__Glomeromycetes",NA,NA,NA,NA
"ASV2067","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae",NA,NA
"ASV2068","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Trechisporales","f__Hydnodontaceae",NA,NA
"ASV2069","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV2070","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae",NA,NA
"ASV2071","k__Fungi","p__Mortierellomycota",NA,NA,NA,NA,NA
"ASV2072","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV2073","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV2074","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Cladosporium","s__delicatulum"
"ASV2075","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Branch06",NA,NA,NA
"ASV2076","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae","g__Westerdykella","s__ornata"
"ASV2077","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Metschnikowiaceae","g__Metschnikowia",NA
"ASV2078","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella",NA
"ASV2079","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV2080","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV2081","k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA
"ASV2082","k__Fungi","p__Mortierellomycota",NA,NA,NA,NA,NA
"ASV2083","k__Fungi","p__Glomeromycota","c__Glomeromycetes",NA,NA,NA,NA
"ASV2084","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV2085","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Morosphaeriaceae","g__Acrocalymma",NA
"ASV2086","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"ASV2087","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV2088","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae","g__Westerdykella","s__ornata"
"ASV2089","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales","f__Orbiliaceae",NA,NA
"ASV2090","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV2091","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Microascales","f__Microascaceae","g__Lophotrichus","s__fimeti"
"ASV2092","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Periconiaceae","g__Periconia","s__macrospinosa"
"ASV2093","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Stachybotryaceae",NA,NA
"ASV2094","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella",NA
"ASV2095","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV2096","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae","g__Preussia","s__persica"
"ASV2097","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Microascales","f__Microascaceae","g__Lophotrichus","s__fimeti"
"ASV2098","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV2099","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Articulospora","s__proliferata"
"ASV2100","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Stachybotryaceae","g__Stachybotrys","s__microspora"
"ASV2101","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Sordariaceae","g__Gelasinospora","s__saitoi"
"ASV2102","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV2103","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae","g__Botryotrichum","s__atrogriseum"
"ASV2104","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Entolomataceae","g__Claudopus",NA
"ASV2105","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV2106","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV2107","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Sebacinaceae","g__Chaetospermum","s__camelliae"
"ASV2108","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales",NA,NA,NA
"ASV2109","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales",NA,NA,NA
"ASV2110","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Stachybotryaceae","g__Myxospora",NA
"ASV2111","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales",NA,NA,NA
"ASV2112","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes",NA,NA,NA,NA
"ASV2113","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Fusarium","s__sarcochroum"
"ASV2114","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Metschnikowiaceae","g__Metschnikowia",NA
"ASV2115","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lentitheciaceae","g__Darksidea","s__alpha"
"ASV2116","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Onygenales","f__Onygenaceae","g__Aphanoascus","s__terreus"
"ASV2117","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Diversisporales","f__Acaulosporaceae",NA,NA
"ASV2118","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Diversisporales","f__Acaulosporaceae",NA,NA
"ASV2119","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales",NA,NA,NA
"ASV2120","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Aspergillus","s__alliaceus"
"ASV2121","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Cladosporium","s__delicatulum"
"ASV2122","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Geastrales","f__Geastraceae","g__Geastrum","s__benitoi"
"ASV2123","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV2124","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Agaricaceae","g__Lepiota","s__cortinarius"
"ASV2125","k__Fungi","p__Ascomycota","c__Sordariomycetes",NA,NA,NA,NA
"ASV2126","k__Fungi","p__Basidiomycota","c__Tremellomycetes",NA,NA,NA,NA
"ASV2127","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV2128","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Rhynchogastremataceae",NA,NA
"ASV2129","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV2130","k__Fungi","p__Mortierellomycota",NA,NA,NA,NA,NA
"ASV2131","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Metschnikowiaceae","g__Metschnikowia",NA
"ASV2132","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV2133","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Metschnikowiaceae","g__Metschnikowia",NA
"ASV2134","k__Fungi","p__Glomeromycota",NA,NA,NA,NA,NA
"ASV2135","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Curvularia","s__trifolii"
"ASV2136","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Apiosporaceae","g__Arthrinium","s__rasikravindrae"
"ASV2137","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Gigasporales","f__Gigasporaceae",NA,NA
"ASV2138","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Penicillium","s__simplicissimum"
"ASV2139","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae","g__Chaetomium","s__globosum"
"ASV2140","k__Fungi","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA
"ASV2141","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV2142","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV2143","k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA
"ASV2144","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Corticiales","f__Corticiaceae","g__Limonomyces",NA
"ASV2145","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Marasmiaceae","g__Moniliophthora",NA
"ASV2146","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Chaetothyriaceae",NA,NA
"ASV2147","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Boubovia",NA
"ASV2148","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"ASV2149","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideomycetes_ord_Incertae_sedis","f__Eremomycetaceae","g__Arthrographis","s__arxii"
"ASV2150","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV2151","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Teratosphaeriaceae",NA,NA
"ASV2152","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales","f__Orbiliaceae",NA,NA
"ASV2153","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV2154","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Metschnikowiaceae","g__Metschnikowia",NA
"ASV2155","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales",NA,NA,NA
"ASV2156","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV2157","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Stachybotryaceae","g__Alfaria",NA
