Blank,cm1,cm2,cm3,cm4,cm5,cob1,cob2,cob3,cob4,cob5,cpf1,cpf2,cpf3,cpf4,cpf5,cpv1,cpv2,cpv3,cpv4,cpv5,im1,im2,im3,im4,im5,iob1,iob2,iob3,iob4,iod1,iod2,iod3,iod4,iod5,ion1,ion2,ion3,ion4,ion5,ipf1,ipf2,ipf3,ipf4,ipf5,ipv1,ipv2,ipv3,ipv4,ipv5,nm1,nm2,nm3,nm4,nm5,nod1,nod2,nod3,nod4,nod5,non1,non2,non3,non4,non5,npf1,npf2,npf3,npf4,npf5,npv1,npv2,npv3,npv4,npv5,
Arbuscular_Mycorrhizal,0,62,7,44,11,0,280,849,756,1052,816,5,0,3,116,13,0,99,4,66,14,188,9,12,197,8,4523,3028,520,0,0,16,0,0,0,331,522,539,1878,234,0,13,50,20,20,54,3,185,23,57,0,8,5,43,79,0,440,0,0,0,106,0,0,202,34,5,0,0,127,0,60,96,45,23,0
Dung_Saprotroph,0,8,91,126,147,13,0,0,167,0,177,138,10,2,140,8,23,2,734,98,23,37,12,227,75,249,0,0,6,0,0,0,0,0,0,0,0,0,0,38,247,0,0,199,41,0,18,0,8,542,785,0,78,140,4,0,0,0,0,0,0,0,0,14,0,65,51,0,567,246,0,130,8,389,729
Ectomycorrhizal,0,2,34,0,5,0,0,0,0,0,0,0,8,0,0,27,0,0,4,5,0,13,2,0,2,6,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,98,2,0,0,0,13,19,0,11,0,0,0,0,0,0,0,0,4,4,0,0,0,20,11,22,9,12,6,5,0,14,64
Lichenized,0,0,61,0,32,0,0,0,0,0,0,0,57,47,111,27,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,26,21,275,0,0,0,0,0
Plant_Pathogen,0,3648,428,9872,2176,55,372,1740,1756,4684,880,110,1424,1312,3347,1911,3887,129,1219,3085,869,175,359,235,975,98,1011,1013,297,0,184,1040,557,586,14,1492,1742,818,2079,405,2633,1808,1876,632,2952,533,2875,3293,70,498,1277,539,1844,1411,178,472,82,63,17,560,0,322,30,1021,287,133,455,119,4687,17653,213,703,1335,118,4331
Plant_Saprotroph,0,207,0,0,0,0,0,2,8,18,0,0,0,0,0,8,0,0,0,8,0,10,48,23,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,13,37,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,15,0,0,0,0,0,0,0
Undefined_Saprotroph,0,34704,29635,13490,14589,842,2915,1700,5064,2063,3461,1078,3748,1725,3349,39586,662,267,1179,7154,1838,1613,8491,4741,3614,14254,1832,2098,617,40,1127,1081,1999,1903,128,734,7233,1823,3454,4868,24296,1053,3293,3564,2688,2412,420,1480,832,5205,6468,1540,5553,17899,3996,338,4949,670,983,1431,579,1811,444,1402,689,17063,7415,2625,4272,5919,12252,714,3398,1019,1815
Wood_Saprotroph,0,107,177,360,103,103,449,45,2,136,11,210,415,244,1206,2041,2,0,64,351,29,565,191,634,362,4,1171,440,87,0,104,0,0,66,0,0,18,16,6,13,242,21,348,1206,74,119,17,67,0,34,0,256,2848,197,485,0,260,150,127,0,0,60,10,0,0,425,277,3676,882,1887,13,211,2,326,407
