OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV1218	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae		
ASV1219	Fungi	Ascomycota	Leotiomycetes	Helotiales			
ASV1220	Fungi	Ascomycota					
ASV1221	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	stromaticum
ASV1222	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Metschnikowia	
ASV1223	Fungi	Ascomycota					
ASV1224	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Pseudolophiostoma	vitigenum
ASV1225	Fungi	Basidiomycota					
ASV1226	Fungi	Basidiomycota	Agaricomycetes	Phallales	Phallaceae	Itajahya	rosea
ASV1227	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Boubovia	
ASV1228	Fungi	Glomeromycota	Glomeromycetes	Diversisporales	Diversisporaceae	Diversispora	
ASV1229	Fungi	Ascomycota					
ASV1230	Fungi						
ASV1231	Fungi	Basidiomycota	Cystobasidiomycetes				
ASV1232	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae		
ASV1233	Fungi	Ascomycota	Eurotiomycetes				
ASV1234	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Chaetothyriaceae	Chaetothyrium	agathis
ASV1235	Fungi	Ascomycota					
ASV1236	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Naganishia	randhawae
ASV1237	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Metschnikowia	
ASV1238	Fungi	Basidiomycota	Agaricomycetes	Trechisporales	Hydnodontaceae		
ASV1239	Fungi	Ascomycota	Pezizomycetes	Pezizales	Ascobolaceae		
ASV1240	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Beauveria	bassiana
ASV1241	Fungi	Glomeromycota	Paraglomeromycetes	Paraglomerales			
ASV1242	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Ovatospora	
ASV1243	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Teratosphaeriaceae		
ASV1244	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae		
ASV1245	Fungi	Ascomycota					
ASV1246	Fungi	Ascomycota	Sordariomycetes	Xylariales	Bartaliniaceae		
ASV1247	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Chaetothyriaceae	Chaetothyrium	agathis
ASV1248	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Testudinaceae	Lepidosphaeria	nicotiae
ASV1249	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	terricola
ASV1250	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Entoloma	
ASV1251	Fungi	Ascomycota	Pezizomycetes	Pezizales	Ascobolaceae		
ASV1252	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	
ASV1253	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	globosum
ASV1254	Fungi	Basidiomycota					
ASV1255	Fungi						
ASV1256	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Metschnikowia	
ASV1257	Fungi	Ascomycota	Dothideomycetes	Natipusillales	Natipusillaceae		
ASV1258	Fungi	Chytridiomycota	GS13				
ASV1259	Fungi	Ascomycota					
ASV1260	Fungi	Basidiomycota	Agaricomycetes	Geastrales	Geastraceae	Geastrum	
ASV1261	Fungi	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae	Coniochaeta	canina
ASV1262	Fungi	Chytridiomycota	GS13				
ASV1263	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Toxicocladosporium	
ASV1264	Fungi	Ascomycota					
ASV1265	Fungi						
ASV1266	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Metschnikowia	
ASV1267	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	terreus
ASV1268	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Cutaneotrichosporon	dermatis
ASV1269	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
ASV1270	Fungi	Ascomycota					
ASV1271	Fungi						
ASV1272	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Capnodiaceae		
ASV1273	Fungi	Basidiomycota	Cystobasidiomycetes				
ASV1274	Fungi	Glomeromycota					
ASV1275	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae		
ASV1276	Fungi	Ascomycota	Dothideomycetes	Tubeufiales	Tubeufiaceae		
ASV1277	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae		
ASV1278	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Pseudolophiostoma	obtusisporum
ASV1279	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	truncatum
ASV1280	Fungi	Basidiomycota	Cystobasidiomycetes	Cystobasidiales	Cystobasidiaceae	Cystobasidium	minuta
ASV1281	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Rachicladosporium	cboliae
ASV1282	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Acrophialophora	
ASV1283	Fungi	Ascomycota	Sordariomycetes				
ASV1284	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae		
ASV1285	Fungi	Ascomycota	Dothideomycetes				
ASV1286	Fungi	Ascomycota					
ASV1287	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
ASV1288	Fungi	Glomeromycota	Archaeosporomycetes	Archaeosporales	Ambisporaceae	Ambispora	appendicula
ASV1289	Fungi	Glomeromycota	Glomeromycetes	Diversisporales			
ASV1290	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales			
ASV1291	Fungi	Ascomycota	Pezizomycetes	Pezizales			
ASV1292	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Clitopilus	
ASV1293	Fungi	Ascomycota					
ASV1294	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae		
ASV1295	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Metschnikowia	
ASV1296	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Monosporascus	
ASV1297	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Humicola	olivacea
ASV1298	Fungi	Basidiomycota	Agaricomycetes	Auriculariales			
ASV1299	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Podospora	prethopodalis
ASV1300	Fungi	Ascomycota	Sordariomycetes	Sordariales			
ASV1301	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	beljakovae
