ID,Treatment,IND,abuabu,abuinc,acacal,ambcon,ariads,ayefil,boedif,boecoc,bouari,boubar,bricpal,buljun,carari,cencil,chanic,chlvir,comcoe,dicres,datdis,encfar,evoals,euperi,eupflo,eralem,eupped,funcyn,galapa,ibeson,ipohed,ipolep,jatcar,lopsch,lycber,mammic,mimdis,olntes,opuful,oputhu,phaspi,panhir,parpre,phocal,porole,porpil,provel,sespor,setmac,sidrho,steala,talpan,stethu,tidlan,zizobt,bare_soil
IPF3,TOLN+B,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0.05,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPF4,TOLN+B,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.25,0,0,0,0,0,0,0.05,0,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
IPF5,TOLN+B,5,0,0,0.05,0,0,0,0,0.25,0.05,0.05,0,0,0,0.75,0.05,0,0,0,0.05,0.05,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0.05,0.05,0,0,0,0,0,0,0.05,0,0
CPV1,NPAR+B,1,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05
CPV2,NPAR+B,2,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05
CPV3,NPAR+B,3,0,0,0,0,0,0,0,0,0,0.5,0,0.05,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0.05
CPV4,NPAR+B,4,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.75,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPV5,NPAR+B,5,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75
CM1,NPRO+B,1,0,0,0,0,0,0,0,0,0,0.25,0,0,0.05,0.99,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CM2,NPRO+B,2,0,0,0,0,0.05,0,0,0,0,0.05,0,0,0,0.99,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0
